epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1141.08,0.92775,0.76665,1.13688,0.7977,0.6892,0.78358,0.55642,0.9688,0.75316,1.13205,0.00333288,0.00333288,0.00333288
2,2264.03,1.1176,0.98335,1.26188,0.79893,0.66767,0.76296,0.53178,1.00726,0.80147,1.16873,0.00660022,0.00660022,0.00660022
3,3374.86,1.24506,1.16922,1.3631,0.78841,0.64743,0.74634,0.5124,1.0381,0.84736,1.20832,0.00980156,0.00980156,0.00980156
4,4481.65,1.24382,1.16959,1.36927,0.79522,0.66648,0.76109,0.52954,1.00982,0.80602,1.19252,0.009703,0.009703,0.009703
5,5589.59,1.17864,1.07346,1.33003,0.81039,0.67427,0.77556,0.54652,0.98096,0.76408,1.17274,0.009604,0.009604,0.009604
6,6698.78,1.13717,1.01821,1.3017,0.81094,0.6833,0.78514,0.55638,0.96393,0.74187,1.16312,0.009505,0.009505,0.009505
7,7808.4,1.1195,0.99116,1.28953,0.81575,0.68611,0.78985,0.56206,0.95617,0.73024,1.15836,0.009406,0.009406,0.009406
8,8915.78,1.09965,0.96523,1.27618,0.81394,0.69014,0.79231,0.56576,0.94841,0.72158,1.15383,0.009307,0.009307,0.009307
9,10023,1.08866,0.95148,1.26493,0.81827,0.69113,0.7946,0.5689,0.9442,0.71542,1.15074,0.009208,0.009208,0.009208
10,11131.9,1.07914,0.93733,1.25763,0.81864,0.69613,0.79641,0.57201,0.93916,0.71078,1.14622,0.009109,0.009109,0.009109
11,12240.4,1.0708,0.92547,1.25568,0.81847,0.69859,0.79832,0.57459,0.93368,0.70499,1.14283,0.00901,0.00901,0.00901
12,13347.3,1.06689,0.92097,1.25214,0.8184,0.70195,0.80021,0.57687,0.92835,0.69932,1.13975,0.008911,0.008911,0.008911
13,14454.3,1.06154,0.91261,1.24811,0.82208,0.70038,0.80199,0.57932,0.92441,0.69433,1.13696,0.008812,0.008812,0.008812
14,15562.6,1.05606,0.90508,1.24236,0.82317,0.70013,0.80304,0.58133,0.92114,0.68943,1.13443,0.008713,0.008713,0.008713
15,16670.5,1.05336,0.89986,1.24076,0.82312,0.70474,0.80555,0.5832,0.91833,0.68586,1.13258,0.008614,0.008614,0.008614
16,17778.1,1.04879,0.89446,1.23677,0.82297,0.70947,0.80717,0.58542,0.91525,0.68173,1.13011,0.008515,0.008515,0.008515
17,18885.9,1.04404,0.89203,1.23659,0.82323,0.71201,0.80821,0.58717,0.91315,0.67907,1.12892,0.008416,0.008416,0.008416
18,19994.9,1.04346,0.88942,1.23283,0.82537,0.71127,0.81001,0.58768,0.9116,0.67708,1.12692,0.008317,0.008317,0.008317
19,21102.4,1.0401,0.88692,1.23264,0.82242,0.71628,0.8114,0.5891,0.9096,0.67478,1.12493,0.008218,0.008218,0.008218
20,22210,1.03597,0.88146,1.22857,0.82472,0.71364,0.81333,0.59058,0.90756,0.67058,1.12294,0.008119,0.008119,0.008119
21,23316.4,1.03811,0.87944,1.22832,0.82972,0.71383,0.81425,0.5924,0.90566,0.66785,1.1217,0.00802,0.00802,0.00802
22,24426.8,1.03264,0.87674,1.22854,0.83202,0.71434,0.81464,0.59276,0.90427,0.66518,1.12057,0.007921,0.007921,0.007921
23,25535.5,1.03357,0.87289,1.22593,0.83168,0.7126,0.81459,0.59338,0.90284,0.66221,1.11908,0.007822,0.007822,0.007822
24,26642.6,1.03191,0.87303,1.22563,0.8302,0.71583,0.8156,0.59491,0.90118,0.65968,1.11856,0.007723,0.007723,0.007723
